Text name: ddpg_ant_seed1.txt
[0/2000] rSumAvg:[98.703]
[1/2000] rSumAvg:[96.308]
[2/2000] rSumAvg:[93.776]
[3/2000] rSumAvg:[89.013]
[4/2000] rSumAvg:[82.281]
[5/2000] rSumAvg:[76.906]
[6/2000] rSumAvg:[72.136]
[7/2000] rSumAvg:[66.851]
[8/2000] rSumAvg:[62.187]
[9/2000] rSumAvg:[55.411]
[10/2000] rSumAvg:[52.244]
[11/2000] rSumAvg:[49.761]
[12/2000] rSumAvg:[51.518]
[13/2000] rSumAvg:[61.304]
[14/2000] rSumAvg:[69.107]
[15/2000] rSumAvg:[63.647]
[16/2000] rSumAvg:[64.373]
[17/2000] rSumAvg:[60.308]
[18/2000] rSumAvg:[71.246]
[19/2000] rSumAvg:[59.241]
[20/2000] rSumAvg:[72.018]
[21/2000] rSumAvg:[65.132]
[22/2000] rSumAvg:[79.254]
[23/2000] rSumAvg:[70.183]
[24/2000] rSumAvg:[67.504]
[25/2000] rSumAvg:[68.830]
[26/2000] rSumAvg:[63.671]
[27/2000] rSumAvg:[69.945]
[28/2000] rSumAvg:[81.748]
[29/2000] rSumAvg:[64.423]
[30/2000] rSumAvg:[50.322]
[31/2000] rSumAvg:[16.088]
[32/2000] rSumAvg:[61.160]
[33/2000] rSumAvg:[19.002]
[34/2000] rSumAvg:[39.462]
[35/2000] rSumAvg:[61.935]
[36/2000] rSumAvg:[58.051]
[37/2000] rSumAvg:[56.368]
[38/2000] rSumAvg:[58.292]
[39/2000] rSumAvg:[41.074]
[40/2000] rSumAvg:[-24.414]
[41/2000] rSumAvg:[38.916]
[42/2000] rSumAvg:[-69.416]
[43/2000] rSumAvg:[55.285]
[44/2000] rSumAvg:[46.062]
[45/2000] rSumAvg:[64.928]
[46/2000] rSumAvg:[55.431]
[47/2000] rSumAvg:[5.707]
[48/2000] rSumAvg:[52.776]
[49/2000] rSumAvg:[55.751]
[50/2000] rSumAvg:[-13.260]
[51/2000] rSumAvg:[18.738]
[52/2000] rSumAvg:[15.054]
[53/2000] rSumAvg:[7.154]
[54/2000] rSumAvg:[15.223]
[55/2000] rSumAvg:[38.256]
[56/2000] rSumAvg:[52.883]
[57/2000] rSumAvg:[63.357]
[58/2000] rSumAvg:[61.953]
[59/2000] rSumAvg:[55.580]
[60/2000] rSumAvg:[51.841]
[61/2000] rSumAvg:[-6.560]
[62/2000] rSumAvg:[14.846]
[63/2000] rSumAvg:[60.768]
[64/2000] rSumAvg:[-76.439]
[65/2000] rSumAvg:[83.308]
[66/2000] rSumAvg:[54.252]
[67/2000] rSumAvg:[51.647]
[68/2000] rSumAvg:[57.785]
[69/2000] rSumAvg:[48.523]
[70/2000] rSumAvg:[53.817]
[71/2000] rSumAvg:[43.955]
[72/2000] rSumAvg:[40.795]
[73/2000] rSumAvg:[38.627]
[74/2000] rSumAvg:[1.680]
[75/2000] rSumAvg:[66.022]
[76/2000] rSumAvg:[-77.180]
[77/2000] rSumAvg:[44.606]
[78/2000] rSumAvg:[-197.647]
[79/2000] rSumAvg:[-102.982]
[80/2000] rSumAvg:[68.002]
[81/2000] rSumAvg:[90.305]
[82/2000] rSumAvg:[68.144]
[83/2000] rSumAvg:[-101.360]
[84/2000] rSumAvg:[62.163]
[85/2000] rSumAvg:[29.689]
[86/2000] rSumAvg:[-141.277]
[87/2000] rSumAvg:[18.626]
[88/2000] rSumAvg:[27.513]
[89/2000] rSumAvg:[-118.028]
[90/2000] rSumAvg:[45.002]
[91/2000] rSumAvg:[34.143]
[92/2000] rSumAvg:[-7.760]
[93/2000] rSumAvg:[63.676]
[94/2000] rSumAvg:[36.431]
[95/2000] rSumAvg:[34.468]
[96/2000] rSumAvg:[-12.876]
[97/2000] rSumAvg:[-120.506]
[98/2000] rSumAvg:[69.894]
[99/2000] rSumAvg:[53.933]
[100/2000] rSumAvg:[55.687]
[101/2000] rSumAvg:[39.612]
[102/2000] rSumAvg:[-9.985]
[103/2000] rSumAvg:[73.580]
[104/2000] rSumAvg:[-15.089]
[105/2000] rSumAvg:[50.981]
[106/2000] rSumAvg:[-134.232]
[107/2000] rSumAvg:[-151.934]
[108/2000] rSumAvg:[42.710]
[109/2000] rSumAvg:[61.704]
[110/2000] rSumAvg:[42.836]
[111/2000] rSumAvg:[-102.417]
[112/2000] rSumAvg:[62.194]
[113/2000] rSumAvg:[-113.401]
[114/2000] rSumAvg:[27.485]
[115/2000] rSumAvg:[-12.595]
[116/2000] rSumAvg:[-11.718]
[117/2000] rSumAvg:[-7.080]
[118/2000] rSumAvg:[68.698]
[119/2000] rSumAvg:[-13.511]
[120/2000] rSumAvg:[50.088]
[121/2000] rSumAvg:[-17.441]
[122/2000] rSumAvg:[-16.262]
[123/2000] rSumAvg:[-52.101]
[124/2000] rSumAvg:[33.944]
[125/2000] rSumAvg:[34.268]
[126/2000] rSumAvg:[74.898]
[127/2000] rSumAvg:[37.924]
[128/2000] rSumAvg:[13.702]
[129/2000] rSumAvg:[-170.920]
[130/2000] rSumAvg:[-59.353]
[131/2000] rSumAvg:[-11.678]
[132/2000] rSumAvg:[-49.106]
[133/2000] rSumAvg:[67.264]
[134/2000] rSumAvg:[22.495]
[135/2000] rSumAvg:[42.475]
[136/2000] rSumAvg:[-172.966]
[137/2000] rSumAvg:[43.447]
[138/2000] rSumAvg:[4.520]
[139/2000] rSumAvg:[60.173]
[140/2000] rSumAvg:[7.482]
[141/2000] rSumAvg:[38.625]
[142/2000] rSumAvg:[-3.039]
[143/2000] rSumAvg:[41.519]
[144/2000] rSumAvg:[-68.500]
[145/2000] rSumAvg:[-11.994]
[146/2000] rSumAvg:[-66.199]
[147/2000] rSumAvg:[7.060]
[148/2000] rSumAvg:[37.457]
