Text name: ddpg_halfcheetah_seed0.txt
[0/1000] rSumAvg:[-0.406]
[1/1000] rSumAvg:[-3.426]
[2/1000] rSumAvg:[-12.168]
[3/1000] rSumAvg:[-21.807]
[4/1000] rSumAvg:[-24.112]
[5/1000] rSumAvg:[-22.118]
[6/1000] rSumAvg:[-24.492]
[7/1000] rSumAvg:[-25.374]
[8/1000] rSumAvg:[-28.391]
[9/1000] rSumAvg:[-32.567]
[10/1000] rSumAvg:[-36.022]
[11/1000] rSumAvg:[-37.903]
[12/1000] rSumAvg:[-40.232]
[13/1000] rSumAvg:[-41.311]
[14/1000] rSumAvg:[-42.127]
[15/1000] rSumAvg:[-43.214]
[16/1000] rSumAvg:[-43.398]
[17/1000] rSumAvg:[-42.058]
[18/1000] rSumAvg:[-40.557]
[19/1000] rSumAvg:[-40.813]
[20/1000] rSumAvg:[-41.622]
[21/1000] rSumAvg:[-41.206]
[22/1000] rSumAvg:[-39.741]
[23/1000] rSumAvg:[-40.618]
[24/1000] rSumAvg:[-41.660]
[25/1000] rSumAvg:[-42.941]
[26/1000] rSumAvg:[-41.462]
[27/1000] rSumAvg:[-40.316]
[28/1000] rSumAvg:[-39.652]
[29/1000] rSumAvg:[-40.639]
[30/1000] rSumAvg:[-38.516]
[31/1000] rSumAvg:[-35.077]
[32/1000] rSumAvg:[-28.168]
[33/1000] rSumAvg:[-20.976]
[34/1000] rSumAvg:[-14.024]
[35/1000] rSumAvg:[-13.284]
[36/1000] rSumAvg:[-15.244]
[37/1000] rSumAvg:[-13.511]
[38/1000] rSumAvg:[-13.714]
[39/1000] rSumAvg:[-0.670]
[40/1000] rSumAvg:[1.529]
[41/1000] rSumAvg:[0.596]
[42/1000] rSumAvg:[0.353]
[43/1000] rSumAvg:[0.330]
[44/1000] rSumAvg:[-3.031]
[45/1000] rSumAvg:[-3.979]
[46/1000] rSumAvg:[1.652]
[47/1000] rSumAvg:[-4.195]
[48/1000] rSumAvg:[-6.036]
[49/1000] rSumAvg:[-2.900]
[50/1000] rSumAvg:[-5.273]
[51/1000] rSumAvg:[-4.793]
[52/1000] rSumAvg:[-5.613]
[53/1000] rSumAvg:[-5.254]
[54/1000] rSumAvg:[-9.092]
[55/1000] rSumAvg:[-12.815]
[56/1000] rSumAvg:[-8.941]
[57/1000] rSumAvg:[-9.106]
[58/1000] rSumAvg:[-0.619]
[59/1000] rSumAvg:[-3.194]
[60/1000] rSumAvg:[2.432]
[61/1000] rSumAvg:[6.174]
[62/1000] rSumAvg:[8.456]
[63/1000] rSumAvg:[8.457]
[64/1000] rSumAvg:[1.841]
[65/1000] rSumAvg:[0.488]
[66/1000] rSumAvg:[4.976]
[67/1000] rSumAvg:[-1.224]
[68/1000] rSumAvg:[-4.109]
[69/1000] rSumAvg:[-2.815]
[70/1000] rSumAvg:[-0.330]
[71/1000] rSumAvg:[-3.483]
[72/1000] rSumAvg:[-1.596]
[73/1000] rSumAvg:[-1.296]
[74/1000] rSumAvg:[4.130]
[75/1000] rSumAvg:[7.786]
[76/1000] rSumAvg:[2.290]
[77/1000] rSumAvg:[0.838]
[78/1000] rSumAvg:[-0.332]
[79/1000] rSumAvg:[-3.445]
[80/1000] rSumAvg:[-3.106]
[81/1000] rSumAvg:[-0.560]
[82/1000] rSumAvg:[-2.356]
[83/1000] rSumAvg:[-2.660]
[84/1000] rSumAvg:[-2.173]
[85/1000] rSumAvg:[-6.647]
[86/1000] rSumAvg:[-4.124]
[87/1000] rSumAvg:[-2.915]
[88/1000] rSumAvg:[-4.557]
[89/1000] rSumAvg:[-8.240]
[90/1000] rSumAvg:[-7.576]
[91/1000] rSumAvg:[-8.408]
[92/1000] rSumAvg:[-7.522]
[93/1000] rSumAvg:[-4.310]
[94/1000] rSumAvg:[-3.427]
[95/1000] rSumAvg:[-5.196]
[96/1000] rSumAvg:[-4.316]
[97/1000] rSumAvg:[-3.235]
[98/1000] rSumAvg:[-0.333]
[99/1000] rSumAvg:[-2.747]
[100/1000] rSumAvg:[-1.837]
[101/1000] rSumAvg:[-3.894]
[102/1000] rSumAvg:[-5.149]
[103/1000] rSumAvg:[-4.211]
[104/1000] rSumAvg:[-4.798]
[105/1000] rSumAvg:[-0.996]
[106/1000] rSumAvg:[-2.624]
[107/1000] rSumAvg:[-2.013]
[108/1000] rSumAvg:[-3.873]
[109/1000] rSumAvg:[-7.884]
[110/1000] rSumAvg:[-3.407]
[111/1000] rSumAvg:[-5.675]
[112/1000] rSumAvg:[-9.229]
[113/1000] rSumAvg:[-8.705]
[114/1000] rSumAvg:[-10.527]
[115/1000] rSumAvg:[-11.099]
[116/1000] rSumAvg:[-12.061]
[117/1000] rSumAvg:[-13.605]
[118/1000] rSumAvg:[-10.538]
[119/1000] rSumAvg:[-11.371]
[120/1000] rSumAvg:[-12.250]
[121/1000] rSumAvg:[-12.118]
[122/1000] rSumAvg:[-12.839]
[123/1000] rSumAvg:[-11.958]
[124/1000] rSumAvg:[-13.213]
[125/1000] rSumAvg:[-15.229]
[126/1000] rSumAvg:[-11.357]
[127/1000] rSumAvg:[-13.718]
[128/1000] rSumAvg:[-11.733]
[129/1000] rSumAvg:[-12.986]
[130/1000] rSumAvg:[-10.444]
[131/1000] rSumAvg:[-13.478]
[132/1000] rSumAvg:[-11.451]
[133/1000] rSumAvg:[-14.248]
[134/1000] rSumAvg:[-12.935]
[135/1000] rSumAvg:[-7.927]
[136/1000] rSumAvg:[-12.641]
[137/1000] rSumAvg:[-12.137]
[138/1000] rSumAvg:[-9.961]
[139/1000] rSumAvg:[-16.726]
[140/1000] rSumAvg:[-12.764]
[141/1000] rSumAvg:[-16.536]
[142/1000] rSumAvg:[-14.125]
[143/1000] rSumAvg:[-16.191]
[144/1000] rSumAvg:[-16.237]
[145/1000] rSumAvg:[-19.572]
[146/1000] rSumAvg:[-17.719]
[147/1000] rSumAvg:[-16.482]
[148/1000] rSumAvg:[-19.610]
[149/1000] rSumAvg:[-18.040]
[150/1000] rSumAvg:[-17.604]
[151/1000] rSumAvg:[-14.390]
[152/1000] rSumAvg:[-14.458]
[153/1000] rSumAvg:[-16.468]
[154/1000] rSumAvg:[-18.814]
[155/1000] rSumAvg:[-19.902]
[156/1000] rSumAvg:[-18.603]
[157/1000] rSumAvg:[-20.958]
[158/1000] rSumAvg:[-22.387]
[159/1000] rSumAvg:[-20.696]
[160/1000] rSumAvg:[-22.773]
[161/1000] rSumAvg:[-21.256]
[162/1000] rSumAvg:[-19.480]
[163/1000] rSumAvg:[-19.695]
[164/1000] rSumAvg:[-16.852]
[165/1000] rSumAvg:[-17.995]
[166/1000] rSumAvg:[-20.701]
[167/1000] rSumAvg:[-21.457]
[168/1000] rSumAvg:[-19.678]
[169/1000] rSumAvg:[-21.016]
[170/1000] rSumAvg:[-21.267]
[171/1000] rSumAvg:[-18.513]
[172/1000] rSumAvg:[-19.864]
[173/1000] rSumAvg:[-19.849]
[174/1000] rSumAvg:[-19.421]
[175/1000] rSumAvg:[-17.369]
[176/1000] rSumAvg:[-21.008]
[177/1000] rSumAvg:[-20.613]
[178/1000] rSumAvg:[-18.585]
