Text name: ddpg_halfcheetah_seed2.txt
[0/1000] rSumAvg:[-1.066]
[1/1000] rSumAvg:[-5.071]
[2/1000] rSumAvg:[-11.676]
[3/1000] rSumAvg:[-10.219]
[4/1000] rSumAvg:[-15.143]
[5/1000] rSumAvg:[-16.167]
[6/1000] rSumAvg:[-23.861]
[7/1000] rSumAvg:[-16.857]
[8/1000] rSumAvg:[-18.565]
[9/1000] rSumAvg:[-20.501]
[10/1000] rSumAvg:[-22.065]
[11/1000] rSumAvg:[-26.307]
[12/1000] rSumAvg:[-30.323]
[13/1000] rSumAvg:[-34.036]
[14/1000] rSumAvg:[-36.348]
[15/1000] rSumAvg:[-38.135]
[16/1000] rSumAvg:[-39.065]
[17/1000] rSumAvg:[-39.841]
[18/1000] rSumAvg:[-41.088]
[19/1000] rSumAvg:[-41.880]
[20/1000] rSumAvg:[-42.191]
[21/1000] rSumAvg:[-42.138]
[22/1000] rSumAvg:[-42.473]
[23/1000] rSumAvg:[-42.970]
[24/1000] rSumAvg:[-43.756]
[25/1000] rSumAvg:[-41.405]
[26/1000] rSumAvg:[-39.917]
[27/1000] rSumAvg:[-39.796]
[28/1000] rSumAvg:[-39.590]
[29/1000] rSumAvg:[-38.594]
[30/1000] rSumAvg:[-37.674]
[31/1000] rSumAvg:[-34.579]
[32/1000] rSumAvg:[-26.289]
[33/1000] rSumAvg:[-19.048]
[34/1000] rSumAvg:[-31.739]
[35/1000] rSumAvg:[-16.023]
[36/1000] rSumAvg:[-19.272]
[37/1000] rSumAvg:[-5.909]
[38/1000] rSumAvg:[-9.302]
[39/1000] rSumAvg:[-4.601]
[40/1000] rSumAvg:[-4.635]
[41/1000] rSumAvg:[-3.609]
[42/1000] rSumAvg:[-3.509]
[43/1000] rSumAvg:[-7.005]
[44/1000] rSumAvg:[-16.111]
[45/1000] rSumAvg:[-12.699]
[46/1000] rSumAvg:[-17.689]
[47/1000] rSumAvg:[-17.629]
[48/1000] rSumAvg:[-20.006]
[49/1000] rSumAvg:[-20.117]
[50/1000] rSumAvg:[-16.887]
[51/1000] rSumAvg:[-19.166]
[52/1000] rSumAvg:[-18.329]
[53/1000] rSumAvg:[-14.399]
[54/1000] rSumAvg:[-11.023]
[55/1000] rSumAvg:[-5.188]
[56/1000] rSumAvg:[-5.647]
[57/1000] rSumAvg:[-4.101]
[58/1000] rSumAvg:[4.193]
[59/1000] rSumAvg:[11.551]
[60/1000] rSumAvg:[6.622]
[61/1000] rSumAvg:[2.958]
[62/1000] rSumAvg:[0.961]
[63/1000] rSumAvg:[2.620]
[64/1000] rSumAvg:[3.013]
[65/1000] rSumAvg:[3.422]
[66/1000] rSumAvg:[4.961]
[67/1000] rSumAvg:[3.510]
[68/1000] rSumAvg:[-1.557]
[69/1000] rSumAvg:[2.466]
[70/1000] rSumAvg:[-4.362]
[71/1000] rSumAvg:[-3.719]
[72/1000] rSumAvg:[-3.309]
[73/1000] rSumAvg:[-5.782]
[74/1000] rSumAvg:[-6.664]
[75/1000] rSumAvg:[-3.073]
[76/1000] rSumAvg:[-7.563]
[77/1000] rSumAvg:[-4.981]
[78/1000] rSumAvg:[-6.098]
[79/1000] rSumAvg:[-3.526]
[80/1000] rSumAvg:[-3.593]
[81/1000] rSumAvg:[-4.917]
[82/1000] rSumAvg:[-2.743]
[83/1000] rSumAvg:[-3.313]
[84/1000] rSumAvg:[-3.131]
[85/1000] rSumAvg:[-5.312]
[86/1000] rSumAvg:[-3.651]
[87/1000] rSumAvg:[-2.287]
[88/1000] rSumAvg:[-5.018]
[89/1000] rSumAvg:[-4.607]
[90/1000] rSumAvg:[-5.171]
[91/1000] rSumAvg:[-4.446]
[92/1000] rSumAvg:[-4.115]
[93/1000] rSumAvg:[-3.426]
[94/1000] rSumAvg:[-4.148]
[95/1000] rSumAvg:[-3.123]
[96/1000] rSumAvg:[-1.219]
[97/1000] rSumAvg:[-2.334]
[98/1000] rSumAvg:[-2.137]
[99/1000] rSumAvg:[1.061]
[100/1000] rSumAvg:[-2.132]
[101/1000] rSumAvg:[-1.192]
[102/1000] rSumAvg:[-1.599]
[103/1000] rSumAvg:[5.173]
[104/1000] rSumAvg:[0.279]
