Text name: ddpg_ant_seed2.txt
[0/2000] rSumAvg:[100.857]
[1/2000] rSumAvg:[88.978]
[2/2000] rSumAvg:[85.530]
[3/2000] rSumAvg:[83.228]
[4/2000] rSumAvg:[78.606]
[5/2000] rSumAvg:[75.989]
[6/2000] rSumAvg:[76.094]
[7/2000] rSumAvg:[74.366]
[8/2000] rSumAvg:[68.524]
[9/2000] rSumAvg:[65.988]
[10/2000] rSumAvg:[59.724]
[11/2000] rSumAvg:[56.478]
[12/2000] rSumAvg:[46.724]
[13/2000] rSumAvg:[51.386]
[14/2000] rSumAvg:[59.860]
[15/2000] rSumAvg:[51.340]
[16/2000] rSumAvg:[51.443]
[17/2000] rSumAvg:[72.991]
[18/2000] rSumAvg:[70.296]
[19/2000] rSumAvg:[72.568]
[20/2000] rSumAvg:[81.539]
[21/2000] rSumAvg:[52.428]
[22/2000] rSumAvg:[65.531]
[23/2000] rSumAvg:[72.472]
[24/2000] rSumAvg:[50.114]
[25/2000] rSumAvg:[47.165]
[26/2000] rSumAvg:[40.465]
[27/2000] rSumAvg:[43.344]
[28/2000] rSumAvg:[43.422]
[29/2000] rSumAvg:[50.924]
[30/2000] rSumAvg:[51.826]
[31/2000] rSumAvg:[49.852]
[32/2000] rSumAvg:[56.430]
[33/2000] rSumAvg:[57.974]
[34/2000] rSumAvg:[16.774]
[35/2000] rSumAvg:[38.423]
[36/2000] rSumAvg:[-100.067]
[37/2000] rSumAvg:[63.460]
[38/2000] rSumAvg:[31.642]
[39/2000] rSumAvg:[32.673]
[40/2000] rSumAvg:[44.896]
[41/2000] rSumAvg:[63.663]
[42/2000] rSumAvg:[44.684]
[43/2000] rSumAvg:[-153.208]
[44/2000] rSumAvg:[28.416]
[45/2000] rSumAvg:[21.535]
[46/2000] rSumAvg:[28.376]
[47/2000] rSumAvg:[-59.033]
[48/2000] rSumAvg:[33.158]
[49/2000] rSumAvg:[13.743]
[50/2000] rSumAvg:[-17.885]
[51/2000] rSumAvg:[51.832]
[52/2000] rSumAvg:[26.734]
[53/2000] rSumAvg:[34.296]
[54/2000] rSumAvg:[-60.927]
[55/2000] rSumAvg:[-47.193]
[56/2000] rSumAvg:[-28.558]
[57/2000] rSumAvg:[44.085]
[58/2000] rSumAvg:[49.695]
[59/2000] rSumAvg:[38.585]
[60/2000] rSumAvg:[34.632]
[61/2000] rSumAvg:[55.683]
[62/2000] rSumAvg:[35.611]
[63/2000] rSumAvg:[39.042]
[64/2000] rSumAvg:[58.216]
[65/2000] rSumAvg:[63.812]
[66/2000] rSumAvg:[53.397]
[67/2000] rSumAvg:[28.688]
[68/2000] rSumAvg:[27.474]
[69/2000] rSumAvg:[26.133]
[70/2000] rSumAvg:[6.371]
[71/2000] rSumAvg:[33.388]
[72/2000] rSumAvg:[75.084]
[73/2000] rSumAvg:[60.899]
[74/2000] rSumAvg:[63.282]
[75/2000] rSumAvg:[69.525]
[76/2000] rSumAvg:[72.088]
[77/2000] rSumAvg:[56.261]
[78/2000] rSumAvg:[-0.513]
[79/2000] rSumAvg:[73.322]
[80/2000] rSumAvg:[58.150]
[81/2000] rSumAvg:[74.003]
[82/2000] rSumAvg:[53.448]
[83/2000] rSumAvg:[31.400]
[84/2000] rSumAvg:[57.096]
[85/2000] rSumAvg:[58.626]
[86/2000] rSumAvg:[33.795]
[87/2000] rSumAvg:[61.124]
[88/2000] rSumAvg:[56.378]
[89/2000] rSumAvg:[47.824]
[90/2000] rSumAvg:[44.240]
[91/2000] rSumAvg:[67.873]
[92/2000] rSumAvg:[60.380]
[93/2000] rSumAvg:[70.824]
[94/2000] rSumAvg:[21.045]
[95/2000] rSumAvg:[42.306]
[96/2000] rSumAvg:[24.881]
[97/2000] rSumAvg:[39.530]
[98/2000] rSumAvg:[40.649]
[99/2000] rSumAvg:[30.591]
[100/2000] rSumAvg:[46.858]
[101/2000] rSumAvg:[36.760]
[102/2000] rSumAvg:[60.994]
[103/2000] rSumAvg:[43.293]
[104/2000] rSumAvg:[55.954]
[105/2000] rSumAvg:[37.999]
[106/2000] rSumAvg:[17.418]
[107/2000] rSumAvg:[-10.974]
[108/2000] rSumAvg:[63.064]
[109/2000] rSumAvg:[8.454]
[110/2000] rSumAvg:[-76.960]
[111/2000] rSumAvg:[53.705]
[112/2000] rSumAvg:[-3.679]
[113/2000] rSumAvg:[59.304]
[114/2000] rSumAvg:[15.748]
[115/2000] rSumAvg:[-90.034]
[116/2000] rSumAvg:[-6.424]
[117/2000] rSumAvg:[-128.189]
[118/2000] rSumAvg:[26.883]
[119/2000] rSumAvg:[55.551]
[120/2000] rSumAvg:[39.772]
[121/2000] rSumAvg:[2.673]
[122/2000] rSumAvg:[-200.330]
[123/2000] rSumAvg:[-2.852]
[124/2000] rSumAvg:[42.922]
[125/2000] rSumAvg:[36.572]
[126/2000] rSumAvg:[44.104]
[127/2000] rSumAvg:[30.604]
[128/2000] rSumAvg:[38.613]
[129/2000] rSumAvg:[-2.144]
[130/2000] rSumAvg:[65.031]
[131/2000] rSumAvg:[3.007]
[132/2000] rSumAvg:[-4.949]
[133/2000] rSumAvg:[-68.688]
[134/2000] rSumAvg:[51.705]
[135/2000] rSumAvg:[41.273]
[136/2000] rSumAvg:[-9.244]
[137/2000] rSumAvg:[24.701]
[138/2000] rSumAvg:[48.463]
[139/2000] rSumAvg:[44.570]
[140/2000] rSumAvg:[39.824]
[141/2000] rSumAvg:[21.314]
[142/2000] rSumAvg:[28.835]
[143/2000] rSumAvg:[61.120]
[144/2000] rSumAvg:[-149.339]
[145/2000] rSumAvg:[39.440]
[146/2000] rSumAvg:[65.569]
[147/2000] rSumAvg:[51.608]
[148/2000] rSumAvg:[42.058]
[149/2000] rSumAvg:[74.757]
[150/2000] rSumAvg:[-1.338]
[151/2000] rSumAvg:[29.169]
[152/2000] rSumAvg:[57.311]
[153/2000] rSumAvg:[37.842]
[154/2000] rSumAvg:[-107.914]
[155/2000] rSumAvg:[45.490]
[156/2000] rSumAvg:[47.120]
[157/2000] rSumAvg:[10.364]
[158/2000] rSumAvg:[48.926]
[159/2000] rSumAvg:[48.169]
[160/2000] rSumAvg:[-53.497]
[161/2000] rSumAvg:[35.512]
[162/2000] rSumAvg:[-138.414]
[163/2000] rSumAvg:[37.962]
[164/2000] rSumAvg:[38.830]
[165/2000] rSumAvg:[29.089]
[166/2000] rSumAvg:[44.644]
[167/2000] rSumAvg:[0.807]
[168/2000] rSumAvg:[12.891]
[169/2000] rSumAvg:[33.740]
[170/2000] rSumAvg:[-86.821]
[171/2000] rSumAvg:[57.288]
[172/2000] rSumAvg:[50.757]
[173/2000] rSumAvg:[39.240]
[174/2000] rSumAvg:[55.082]
[175/2000] rSumAvg:[86.135]
[176/2000] rSumAvg:[42.324]
[177/2000] rSumAvg:[36.435]
[178/2000] rSumAvg:[34.048]
[179/2000] rSumAvg:[54.455]
[180/2000] rSumAvg:[-96.157]
[181/2000] rSumAvg:[49.515]
[182/2000] rSumAvg:[66.586]
[183/2000] rSumAvg:[72.751]
[184/2000] rSumAvg:[-78.442]
[185/2000] rSumAvg:[41.915]
[186/2000] rSumAvg:[37.907]
[187/2000] rSumAvg:[44.505]
[188/2000] rSumAvg:[55.765]
[189/2000] rSumAvg:[23.079]
[190/2000] rSumAvg:[40.387]
[191/2000] rSumAvg:[41.111]
[192/2000] rSumAvg:[27.152]
[193/2000] rSumAvg:[56.763]
[194/2000] rSumAvg:[28.825]
[195/2000] rSumAvg:[51.027]
[196/2000] rSumAvg:[33.422]
[197/2000] rSumAvg:[48.223]
[198/2000] rSumAvg:[59.693]
[199/2000] rSumAvg:[46.031]
[200/2000] rSumAvg:[31.763]
[201/2000] rSumAvg:[-47.331]
[202/2000] rSumAvg:[80.226]
[203/2000] rSumAvg:[80.537]
[204/2000] rSumAvg:[40.098]
[205/2000] rSumAvg:[36.625]
[206/2000] rSumAvg:[65.049]
[207/2000] rSumAvg:[40.347]
[208/2000] rSumAvg:[39.769]
[209/2000] rSumAvg:[70.639]
[210/2000] rSumAvg:[81.168]
[211/2000] rSumAvg:[60.560]
[212/2000] rSumAvg:[65.757]
[213/2000] rSumAvg:[8.075]
[214/2000] rSumAvg:[63.292]
[215/2000] rSumAvg:[61.724]
[216/2000] rSumAvg:[56.037]
[217/2000] rSumAvg:[60.164]
[218/2000] rSumAvg:[30.885]
[219/2000] rSumAvg:[63.726]
[220/2000] rSumAvg:[39.376]
[221/2000] rSumAvg:[56.236]
[222/2000] rSumAvg:[26.546]
[223/2000] rSumAvg:[48.621]
[224/2000] rSumAvg:[23.413]
[225/2000] rSumAvg:[46.787]
[226/2000] rSumAvg:[80.699]
[227/2000] rSumAvg:[73.755]
[228/2000] rSumAvg:[78.062]
[229/2000] rSumAvg:[25.481]
[230/2000] rSumAvg:[48.115]
[231/2000] rSumAvg:[51.048]
[232/2000] rSumAvg:[35.918]
[233/2000] rSumAvg:[44.067]
[234/2000] rSumAvg:[64.928]
[235/2000] rSumAvg:[48.889]
[236/2000] rSumAvg:[-36.295]
[237/2000] rSumAvg:[86.465]
[238/2000] rSumAvg:[55.943]
[239/2000] rSumAvg:[60.835]
[240/2000] rSumAvg:[8.445]
[241/2000] rSumAvg:[92.642]
[242/2000] rSumAvg:[42.691]
[243/2000] rSumAvg:[24.129]
[244/2000] rSumAvg:[53.496]
[245/2000] rSumAvg:[19.057]
[246/2000] rSumAvg:[-76.633]
[247/2000] rSumAvg:[63.402]
[248/2000] rSumAvg:[27.570]
[249/2000] rSumAvg:[-28.219]
[250/2000] rSumAvg:[-65.951]
[251/2000] rSumAvg:[64.620]
[252/2000] rSumAvg:[70.397]
[253/2000] rSumAvg:[-5.225]
[254/2000] rSumAvg:[82.445]
[255/2000] rSumAvg:[37.494]
[256/2000] rSumAvg:[-10.304]
[257/2000] rSumAvg:[50.110]
[258/2000] rSumAvg:[-22.357]
[259/2000] rSumAvg:[-51.146]
[260/2000] rSumAvg:[-14.900]
[261/2000] rSumAvg:[33.690]
[262/2000] rSumAvg:[78.612]
[263/2000] rSumAvg:[-18.753]
[264/2000] rSumAvg:[27.393]
[265/2000] rSumAvg:[37.520]
[266/2000] rSumAvg:[15.168]
[267/2000] rSumAvg:[22.468]
[268/2000] rSumAvg:[54.834]
[269/2000] rSumAvg:[81.938]
[270/2000] rSumAvg:[-17.194]
[271/2000] rSumAvg:[-76.434]
[272/2000] rSumAvg:[-104.936]
[273/2000] rSumAvg:[50.473]
[274/2000] rSumAvg:[52.507]
[275/2000] rSumAvg:[13.899]
[276/2000] rSumAvg:[-31.334]
[277/2000] rSumAvg:[-90.677]
[278/2000] rSumAvg:[21.624]
[279/2000] rSumAvg:[25.150]
[280/2000] rSumAvg:[17.609]
[281/2000] rSumAvg:[63.740]
[282/2000] rSumAvg:[67.592]
[283/2000] rSumAvg:[45.122]
[284/2000] rSumAvg:[31.933]
[285/2000] rSumAvg:[-47.009]
[286/2000] rSumAvg:[29.879]
[287/2000] rSumAvg:[88.689]
[288/2000] rSumAvg:[8.805]
[289/2000] rSumAvg:[36.191]
[290/2000] rSumAvg:[58.158]
[291/2000] rSumAvg:[25.905]
[292/2000] rSumAvg:[40.426]
[293/2000] rSumAvg:[47.241]
[294/2000] rSumAvg:[-113.777]
[295/2000] rSumAvg:[5.686]
[296/2000] rSumAvg:[64.675]
[297/2000] rSumAvg:[36.430]
[298/2000] rSumAvg:[61.310]
[299/2000] rSumAvg:[-15.553]
[300/2000] rSumAvg:[-36.197]
[301/2000] rSumAvg:[47.656]
[302/2000] rSumAvg:[29.532]
[303/2000] rSumAvg:[-43.358]
