Text name: ddpg_ant_seed3.txt
[166/2000] rSumAvg:[-62.948]
[167/2000] rSumAvg:[57.462]
[168/2000] rSumAvg:[50.128]
[169/2000] rSumAvg:[54.803]
[170/2000] rSumAvg:[-21.801]
[171/2000] rSumAvg:[52.914]
[172/2000] rSumAvg:[55.033]
[173/2000] rSumAvg:[28.083]
[174/2000] rSumAvg:[74.537]
[175/2000] rSumAvg:[39.262]
[176/2000] rSumAvg:[68.682]
[177/2000] rSumAvg:[49.231]
[178/2000] rSumAvg:[37.610]
[179/2000] rSumAvg:[67.878]
[180/2000] rSumAvg:[65.339]
[181/2000] rSumAvg:[69.391]
[182/2000] rSumAvg:[81.675]
[183/2000] rSumAvg:[75.035]
[184/2000] rSumAvg:[94.552]
[185/2000] rSumAvg:[42.548]
[186/2000] rSumAvg:[43.240]
[187/2000] rSumAvg:[-196.855]
[188/2000] rSumAvg:[80.528]
[189/2000] rSumAvg:[73.468]
[190/2000] rSumAvg:[37.340]
[191/2000] rSumAvg:[-84.118]
[192/2000] rSumAvg:[-85.535]
[193/2000] rSumAvg:[-53.610]
[194/2000] rSumAvg:[16.044]
[195/2000] rSumAvg:[67.066]
[196/2000] rSumAvg:[43.947]
[197/2000] rSumAvg:[72.763]
[198/2000] rSumAvg:[106.168]
[199/2000] rSumAvg:[95.069]
[200/2000] rSumAvg:[59.677]
[201/2000] rSumAvg:[2.946]
[202/2000] rSumAvg:[125.574]
[203/2000] rSumAvg:[23.446]
[204/2000] rSumAvg:[85.561]
[205/2000] rSumAvg:[90.120]
[206/2000] rSumAvg:[23.615]
[207/2000] rSumAvg:[101.017]
[208/2000] rSumAvg:[17.696]
[209/2000] rSumAvg:[-5.258]
[210/2000] rSumAvg:[31.314]
[211/2000] rSumAvg:[12.352]
[212/2000] rSumAvg:[32.752]
[213/2000] rSumAvg:[21.364]
[214/2000] rSumAvg:[-15.378]
[215/2000] rSumAvg:[-8.630]
[216/2000] rSumAvg:[60.878]
[217/2000] rSumAvg:[32.929]
[218/2000] rSumAvg:[1.191]
[219/2000] rSumAvg:[78.943]
[220/2000] rSumAvg:[31.988]
[221/2000] rSumAvg:[22.609]
[222/2000] rSumAvg:[-176.238]
[223/2000] rSumAvg:[60.754]
[224/2000] rSumAvg:[102.722]
[225/2000] rSumAvg:[-158.228]
[226/2000] rSumAvg:[60.745]
[227/2000] rSumAvg:[71.410]
[228/2000] rSumAvg:[-14.318]
[229/2000] rSumAvg:[36.719]
[230/2000] rSumAvg:[51.960]
[231/2000] rSumAvg:[60.687]
[232/2000] rSumAvg:[50.617]
[233/2000] rSumAvg:[-163.359]
[234/2000] rSumAvg:[25.910]
[235/2000] rSumAvg:[-156.177]
[236/2000] rSumAvg:[-41.144]
[237/2000] rSumAvg:[84.698]
[238/2000] rSumAvg:[24.380]
[239/2000] rSumAvg:[43.003]
[240/2000] rSumAvg:[50.904]
[241/2000] rSumAvg:[-169.359]
[242/2000] rSumAvg:[62.408]
[243/2000] rSumAvg:[-28.927]
[244/2000] rSumAvg:[80.265]
[245/2000] rSumAvg:[-3.623]
[246/2000] rSumAvg:[-112.900]
[247/2000] rSumAvg:[-106.021]
[248/2000] rSumAvg:[36.287]
[249/2000] rSumAvg:[-129.578]
[250/2000] rSumAvg:[-199.019]
[251/2000] rSumAvg:[-124.237]
[252/2000] rSumAvg:[-60.400]
[253/2000] rSumAvg:[32.792]
[254/2000] rSumAvg:[68.813]
[255/2000] rSumAvg:[44.622]
[256/2000] rSumAvg:[52.440]
[257/2000] rSumAvg:[69.038]
[258/2000] rSumAvg:[16.940]
[259/2000] rSumAvg:[47.946]
[260/2000] rSumAvg:[60.653]
[261/2000] rSumAvg:[-140.417]
[262/2000] rSumAvg:[-37.778]
[263/2000] rSumAvg:[44.215]
[264/2000] rSumAvg:[-25.565]
[265/2000] rSumAvg:[17.671]
[266/2000] rSumAvg:[40.716]
[267/2000] rSumAvg:[39.060]
[268/2000] rSumAvg:[-188.489]
[269/2000] rSumAvg:[30.393]
[270/2000] rSumAvg:[66.336]
[271/2000] rSumAvg:[-96.603]
[272/2000] rSumAvg:[-179.180]
[273/2000] rSumAvg:[-146.218]
[274/2000] rSumAvg:[-172.577]
[275/2000] rSumAvg:[-174.749]
[276/2000] rSumAvg:[-11.347]
[277/2000] rSumAvg:[67.615]
[278/2000] rSumAvg:[75.591]
[279/2000] rSumAvg:[58.586]
[280/2000] rSumAvg:[-114.860]
[281/2000] rSumAvg:[7.751]
[282/2000] rSumAvg:[7.373]
[283/2000] rSumAvg:[-117.986]
[284/2000] rSumAvg:[66.417]
[285/2000] rSumAvg:[-66.560]
[286/2000] rSumAvg:[-150.805]
[287/2000] rSumAvg:[-47.246]
[288/2000] rSumAvg:[-102.720]
[289/2000] rSumAvg:[6.142]
[290/2000] rSumAvg:[-150.359]
[291/2000] rSumAvg:[-28.862]
[292/2000] rSumAvg:[3.848]
[293/2000] rSumAvg:[-4.556]
[294/2000] rSumAvg:[62.033]
[295/2000] rSumAvg:[-138.567]
[296/2000] rSumAvg:[82.700]
[297/2000] rSumAvg:[-33.631]
[298/2000] rSumAvg:[81.169]
[299/2000] rSumAvg:[-199.131]
[300/2000] rSumAvg:[83.989]
[301/2000] rSumAvg:[-81.835]
[302/2000] rSumAvg:[82.519]
[303/2000] rSumAvg:[56.096]
[304/2000] rSumAvg:[-138.396]
[305/2000] rSumAvg:[68.340]
[306/2000] rSumAvg:[-163.625]
[307/2000] rSumAvg:[-0.138]
[308/2000] rSumAvg:[44.386]
[309/2000] rSumAvg:[74.327]
[310/2000] rSumAvg:[60.101]
[311/2000] rSumAvg:[84.817]
[312/2000] rSumAvg:[-121.196]
[313/2000] rSumAvg:[75.875]
[314/2000] rSumAvg:[-25.944]
[315/2000] rSumAvg:[68.926]
[316/2000] rSumAvg:[-36.362]
[317/2000] rSumAvg:[-107.486]
[318/2000] rSumAvg:[-28.921]
[319/2000] rSumAvg:[65.960]
[320/2000] rSumAvg:[45.954]
[321/2000] rSumAvg:[56.112]
[322/2000] rSumAvg:[-23.290]
[323/2000] rSumAvg:[54.409]
[324/2000] rSumAvg:[80.756]
[325/2000] rSumAvg:[45.273]
[326/2000] rSumAvg:[42.931]
[327/2000] rSumAvg:[38.292]
[328/2000] rSumAvg:[75.025]
[329/2000] rSumAvg:[40.768]
[330/2000] rSumAvg:[38.576]
[331/2000] rSumAvg:[-6.610]
[332/2000] rSumAvg:[56.582]
[333/2000] rSumAvg:[41.176]
[334/2000] rSumAvg:[75.870]
[335/2000] rSumAvg:[-2.451]
[336/2000] rSumAvg:[104.634]
[337/2000] rSumAvg:[69.108]
[338/2000] rSumAvg:[55.124]
[339/2000] rSumAvg:[47.869]
[340/2000] rSumAvg:[28.868]
[341/2000] rSumAvg:[56.105]
[342/2000] rSumAvg:[74.631]
[343/2000] rSumAvg:[100.219]
[344/2000] rSumAvg:[90.412]
[345/2000] rSumAvg:[48.109]
[346/2000] rSumAvg:[86.193]
[347/2000] rSumAvg:[61.495]
[348/2000] rSumAvg:[-80.008]
[349/2000] rSumAvg:[1.593]
[350/2000] rSumAvg:[63.839]
[351/2000] rSumAvg:[8.732]
[352/2000] rSumAvg:[48.345]
[353/2000] rSumAvg:[61.197]
[354/2000] rSumAvg:[77.420]
[355/2000] rSumAvg:[51.906]
[356/2000] rSumAvg:[-3.273]
[357/2000] rSumAvg:[-152.345]
[358/2000] rSumAvg:[-7.909]
[359/2000] rSumAvg:[15.857]
[360/2000] rSumAvg:[-34.172]
[361/2000] rSumAvg:[88.681]
[362/2000] rSumAvg:[-4.072]
[363/2000] rSumAvg:[79.216]
[364/2000] rSumAvg:[105.122]
[365/2000] rSumAvg:[88.682]
[366/2000] rSumAvg:[80.665]
[367/2000] rSumAvg:[84.029]
[368/2000] rSumAvg:[-39.196]
[369/2000] rSumAvg:[98.568]
[370/2000] rSumAvg:[75.214]
[371/2000] rSumAvg:[67.532]
[372/2000] rSumAvg:[82.759]
[373/2000] rSumAvg:[71.104]
[374/2000] rSumAvg:[-1.648]
[375/2000] rSumAvg:[16.001]
[376/2000] rSumAvg:[42.691]
[377/2000] rSumAvg:[59.361]
[378/2000] rSumAvg:[29.587]
[379/2000] rSumAvg:[-162.707]
[380/2000] rSumAvg:[28.257]
[381/2000] rSumAvg:[-88.685]
[382/2000] rSumAvg:[16.171]
[383/2000] rSumAvg:[77.479]
[384/2000] rSumAvg:[44.946]
[385/2000] rSumAvg:[-24.186]
[386/2000] rSumAvg:[34.442]
[387/2000] rSumAvg:[84.471]
[388/2000] rSumAvg:[0.949]
[389/2000] rSumAvg:[55.329]
[390/2000] rSumAvg:[82.968]
[391/2000] rSumAvg:[15.440]
[392/2000] rSumAvg:[51.466]
[393/2000] rSumAvg:[-115.324]
[394/2000] rSumAvg:[-38.067]
[395/2000] rSumAvg:[-49.356]
[396/2000] rSumAvg:[3.799]
[397/2000] rSumAvg:[53.724]
[398/2000] rSumAvg:[59.968]
[399/2000] rSumAvg:[13.505]
[400/2000] rSumAvg:[77.514]
[401/2000] rSumAvg:[99.100]
[402/2000] rSumAvg:[-26.257]
[403/2000] rSumAvg:[68.971]
[404/2000] rSumAvg:[94.948]
[405/2000] rSumAvg:[9.793]
[406/2000] rSumAvg:[-13.866]
[407/2000] rSumAvg:[97.203]
[408/2000] rSumAvg:[83.037]
[409/2000] rSumAvg:[77.743]
[410/2000] rSumAvg:[48.277]
[411/2000] rSumAvg:[54.310]
[412/2000] rSumAvg:[66.620]
[413/2000] rSumAvg:[83.054]
[414/2000] rSumAvg:[60.595]
[415/2000] rSumAvg:[100.013]
[416/2000] rSumAvg:[86.121]
[417/2000] rSumAvg:[112.893]
[418/2000] rSumAvg:[68.317]
[419/2000] rSumAvg:[53.991]
[420/2000] rSumAvg:[69.234]
[421/2000] rSumAvg:[41.239]
[422/2000] rSumAvg:[67.308]
[423/2000] rSumAvg:[91.907]
[424/2000] rSumAvg:[62.369]
[425/2000] rSumAvg:[60.321]
[426/2000] rSumAvg:[63.427]
[427/2000] rSumAvg:[61.424]
[428/2000] rSumAvg:[-47.439]
[429/2000] rSumAvg:[41.913]
[430/2000] rSumAvg:[67.673]
[431/2000] rSumAvg:[88.125]
[432/2000] rSumAvg:[88.075]
[433/2000] rSumAvg:[76.927]
[434/2000] rSumAvg:[54.044]
[435/2000] rSumAvg:[58.316]
[436/2000] rSumAvg:[66.615]
[437/2000] rSumAvg:[72.208]
[438/2000] rSumAvg:[46.863]
[439/2000] rSumAvg:[57.767]
[440/2000] rSumAvg:[89.970]
[441/2000] rSumAvg:[41.009]
[442/2000] rSumAvg:[56.544]
[443/2000] rSumAvg:[93.135]
[444/2000] rSumAvg:[73.579]
[445/2000] rSumAvg:[72.220]
[446/2000] rSumAvg:[85.525]
[447/2000] rSumAvg:[15.829]
[448/2000] rSumAvg:[60.470]
[449/2000] rSumAvg:[41.224]
[450/2000] rSumAvg:[88.185]
[451/2000] rSumAvg:[66.647]
[452/2000] rSumAvg:[71.652]
[453/2000] rSumAvg:[86.357]
[454/2000] rSumAvg:[84.762]
[455/2000] rSumAvg:[114.361]
[456/2000] rSumAvg:[95.612]
[457/2000] rSumAvg:[90.733]
[458/2000] rSumAvg:[68.178]
[459/2000] rSumAvg:[94.430]
[460/2000] rSumAvg:[105.857]
[461/2000] rSumAvg:[95.512]
[462/2000] rSumAvg:[86.609]
[463/2000] rSumAvg:[87.739]
[464/2000] rSumAvg:[86.357]
[465/2000] rSumAvg:[90.392]
[466/2000] rSumAvg:[75.194]
[467/2000] rSumAvg:[70.158]
[468/2000] rSumAvg:[91.485]
[469/2000] rSumAvg:[93.364]
[470/2000] rSumAvg:[89.379]
[471/2000] rSumAvg:[59.108]
[472/2000] rSumAvg:[61.424]
[473/2000] rSumAvg:[94.945]
[474/2000] rSumAvg:[71.824]
[475/2000] rSumAvg:[108.989]
[476/2000] rSumAvg:[76.262]
[477/2000] rSumAvg:[102.992]
[478/2000] rSumAvg:[97.097]
[479/2000] rSumAvg:[18.192]
[480/2000] rSumAvg:[73.767]
[481/2000] rSumAvg:[91.776]
[482/2000] rSumAvg:[97.584]
[483/2000] rSumAvg:[95.621]
[484/2000] rSumAvg:[16.686]
[485/2000] rSumAvg:[69.219]
[486/2000] rSumAvg:[37.884]
[487/2000] rSumAvg:[112.025]
[488/2000] rSumAvg:[120.171]
[489/2000] rSumAvg:[-35.009]
[490/2000] rSumAvg:[114.863]
[491/2000] rSumAvg:[122.193]
[492/2000] rSumAvg:[103.880]
[493/2000] rSumAvg:[87.259]
[494/2000] rSumAvg:[104.558]
[495/2000] rSumAvg:[134.942]
[496/2000] rSumAvg:[38.076]
[497/2000] rSumAvg:[19.141]
[498/2000] rSumAvg:[26.198]
[499/2000] rSumAvg:[36.257]
[500/2000] rSumAvg:[66.682]
[501/2000] rSumAvg:[91.966]
[502/2000] rSumAvg:[52.475]
[503/2000] rSumAvg:[117.557]
[504/2000] rSumAvg:[33.423]
[505/2000] rSumAvg:[103.667]
[506/2000] rSumAvg:[-104.993]
[507/2000] rSumAvg:[47.254]
[508/2000] rSumAvg:[121.257]
[509/2000] rSumAvg:[105.140]
[510/2000] rSumAvg:[92.673]
[511/2000] rSumAvg:[114.018]
[512/2000] rSumAvg:[106.723]
[513/2000] rSumAvg:[118.229]
[514/2000] rSumAvg:[99.468]
[515/2000] rSumAvg:[94.404]
[516/2000] rSumAvg:[80.869]
[517/2000] rSumAvg:[93.708]
[518/2000] rSumAvg:[40.979]
[519/2000] rSumAvg:[112.627]
