Text name: ddpg_halfcheetah_seed3.txt
[0/1000] rSumAvg:[-0.467]
[1/1000] rSumAvg:[-4.004]
[2/1000] rSumAvg:[-12.450]
[3/1000] rSumAvg:[-18.818]
[4/1000] rSumAvg:[-20.301]
[5/1000] rSumAvg:[-22.316]
[6/1000] rSumAvg:[-24.340]
[7/1000] rSumAvg:[-27.781]
[8/1000] rSumAvg:[-32.804]
[9/1000] rSumAvg:[-34.365]
[10/1000] rSumAvg:[-37.584]
[11/1000] rSumAvg:[-38.391]
[12/1000] rSumAvg:[-38.009]
[13/1000] rSumAvg:[-36.464]
[14/1000] rSumAvg:[-34.962]
[15/1000] rSumAvg:[-34.191]
[16/1000] rSumAvg:[-34.843]
[17/1000] rSumAvg:[-35.643]
[18/1000] rSumAvg:[-38.392]
[19/1000] rSumAvg:[-39.559]
[20/1000] rSumAvg:[-40.837]
[21/1000] rSumAvg:[-42.091]
[22/1000] rSumAvg:[-41.319]
[23/1000] rSumAvg:[-41.030]
[24/1000] rSumAvg:[-41.379]
[25/1000] rSumAvg:[-40.449]
[26/1000] rSumAvg:[-37.564]
[27/1000] rSumAvg:[-25.625]
[28/1000] rSumAvg:[-19.842]
[29/1000] rSumAvg:[-17.169]
[30/1000] rSumAvg:[-33.232]
[31/1000] rSumAvg:[-18.109]
[32/1000] rSumAvg:[-19.791]
[33/1000] rSumAvg:[-22.573]
[34/1000] rSumAvg:[-1.764]
[35/1000] rSumAvg:[0.994]
[36/1000] rSumAvg:[-2.376]
[37/1000] rSumAvg:[0.181]
[38/1000] rSumAvg:[-1.550]
[39/1000] rSumAvg:[-0.300]
[40/1000] rSumAvg:[-0.533]
[41/1000] rSumAvg:[-0.520]
[42/1000] rSumAvg:[-1.977]
[43/1000] rSumAvg:[-5.577]
[44/1000] rSumAvg:[-3.778]
[45/1000] rSumAvg:[-4.390]
[46/1000] rSumAvg:[-7.264]
[47/1000] rSumAvg:[-7.813]
[48/1000] rSumAvg:[-9.848]
[49/1000] rSumAvg:[-12.561]
[50/1000] rSumAvg:[-12.514]
[51/1000] rSumAvg:[-6.095]
[52/1000] rSumAvg:[-5.628]
[53/1000] rSumAvg:[-8.477]
[54/1000] rSumAvg:[-5.074]
[55/1000] rSumAvg:[-2.006]
[56/1000] rSumAvg:[2.797]
[57/1000] rSumAvg:[10.713]
[58/1000] rSumAvg:[14.020]
[59/1000] rSumAvg:[13.497]
[60/1000] rSumAvg:[10.533]
[61/1000] rSumAvg:[10.834]
[62/1000] rSumAvg:[5.777]
[63/1000] rSumAvg:[5.302]
[64/1000] rSumAvg:[2.969]
[65/1000] rSumAvg:[1.180]
[66/1000] rSumAvg:[2.300]
[67/1000] rSumAvg:[-0.710]
[68/1000] rSumAvg:[-0.087]
[69/1000] rSumAvg:[-2.832]
[70/1000] rSumAvg:[-3.432]
[71/1000] rSumAvg:[-1.584]
[72/1000] rSumAvg:[-2.748]
[73/1000] rSumAvg:[-3.783]
[74/1000] rSumAvg:[-5.072]
[75/1000] rSumAvg:[-6.117]
[76/1000] rSumAvg:[-4.445]
[77/1000] rSumAvg:[-5.601]
[78/1000] rSumAvg:[-7.196]
[79/1000] rSumAvg:[-7.527]
[80/1000] rSumAvg:[-7.240]
[81/1000] rSumAvg:[-5.368]
[82/1000] rSumAvg:[-6.510]
[83/1000] rSumAvg:[-7.102]
[84/1000] rSumAvg:[-6.581]
[85/1000] rSumAvg:[-4.812]
[86/1000] rSumAvg:[-6.647]
[87/1000] rSumAvg:[-4.168]
[88/1000] rSumAvg:[-4.440]
[89/1000] rSumAvg:[-3.372]
[90/1000] rSumAvg:[-4.244]
[91/1000] rSumAvg:[-4.639]
[92/1000] rSumAvg:[-4.696]
[93/1000] rSumAvg:[-5.416]
[94/1000] rSumAvg:[-4.428]
[95/1000] rSumAvg:[-4.612]
[96/1000] rSumAvg:[-3.268]
[97/1000] rSumAvg:[-6.395]
[98/1000] rSumAvg:[-4.383]
[99/1000] rSumAvg:[-6.762]
[100/1000] rSumAvg:[-5.274]
[101/1000] rSumAvg:[-6.462]
[102/1000] rSumAvg:[-5.980]
[103/1000] rSumAvg:[-7.918]
[104/1000] rSumAvg:[-8.579]
[105/1000] rSumAvg:[-11.404]
[106/1000] rSumAvg:[-10.106]
[107/1000] rSumAvg:[-9.011]
[108/1000] rSumAvg:[-11.061]
[109/1000] rSumAvg:[-7.542]
