Text name: ddpg_ant_seed0.txt
[0/2000] rSumAvg:[95.303]
[1/2000] rSumAvg:[91.710]
[2/2000] rSumAvg:[86.567]
[3/2000] rSumAvg:[75.160]
[4/2000] rSumAvg:[65.910]
[5/2000] rSumAvg:[57.681]
[6/2000] rSumAvg:[51.096]
[7/2000] rSumAvg:[46.851]
[8/2000] rSumAvg:[44.656]
[9/2000] rSumAvg:[43.695]
[10/2000] rSumAvg:[47.831]
[11/2000] rSumAvg:[49.933]
[12/2000] rSumAvg:[50.246]
[13/2000] rSumAvg:[63.463]
[14/2000] rSumAvg:[70.108]
[15/2000] rSumAvg:[85.846]
[16/2000] rSumAvg:[88.054]
[17/2000] rSumAvg:[84.778]
[18/2000] rSumAvg:[77.550]
[19/2000] rSumAvg:[74.155]
[20/2000] rSumAvg:[75.287]
[21/2000] rSumAvg:[74.234]
[22/2000] rSumAvg:[72.133]
[23/2000] rSumAvg:[59.673]
[24/2000] rSumAvg:[64.502]
[25/2000] rSumAvg:[59.727]
[26/2000] rSumAvg:[59.701]
[27/2000] rSumAvg:[24.747]
[28/2000] rSumAvg:[65.857]
[29/2000] rSumAvg:[58.778]
[30/2000] rSumAvg:[32.848]
[31/2000] rSumAvg:[60.879]
[32/2000] rSumAvg:[32.957]
[33/2000] rSumAvg:[-147.434]
[34/2000] rSumAvg:[79.228]
[35/2000] rSumAvg:[-118.213]
[36/2000] rSumAvg:[57.325]
[37/2000] rSumAvg:[-175.077]
[38/2000] rSumAvg:[27.809]
[39/2000] rSumAvg:[51.303]
[40/2000] rSumAvg:[58.842]
[41/2000] rSumAvg:[24.421]
[42/2000] rSumAvg:[63.734]
[43/2000] rSumAvg:[52.095]
[44/2000] rSumAvg:[-39.858]
[45/2000] rSumAvg:[64.537]
[46/2000] rSumAvg:[58.960]
[47/2000] rSumAvg:[8.152]
[48/2000] rSumAvg:[36.172]
[49/2000] rSumAvg:[22.390]
[50/2000] rSumAvg:[1.045]
[51/2000] rSumAvg:[23.251]
[52/2000] rSumAvg:[-165.100]
[53/2000] rSumAvg:[-148.068]
[54/2000] rSumAvg:[32.793]
[55/2000] rSumAvg:[20.548]
[56/2000] rSumAvg:[28.158]
[57/2000] rSumAvg:[53.805]
[58/2000] rSumAvg:[44.999]
[59/2000] rSumAvg:[23.231]
[60/2000] rSumAvg:[32.683]
[61/2000] rSumAvg:[34.530]
[62/2000] rSumAvg:[53.291]
[63/2000] rSumAvg:[51.305]
[64/2000] rSumAvg:[42.816]
[65/2000] rSumAvg:[69.347]
[66/2000] rSumAvg:[51.655]
[67/2000] rSumAvg:[63.361]
[68/2000] rSumAvg:[67.540]
[69/2000] rSumAvg:[42.993]
[70/2000] rSumAvg:[47.245]
[71/2000] rSumAvg:[17.967]
[72/2000] rSumAvg:[47.613]
[73/2000] rSumAvg:[55.977]
[74/2000] rSumAvg:[54.686]
[75/2000] rSumAvg:[72.937]
[76/2000] rSumAvg:[26.185]
[77/2000] rSumAvg:[66.977]
[78/2000] rSumAvg:[30.900]
[79/2000] rSumAvg:[59.935]
[80/2000] rSumAvg:[-105.794]
[81/2000] rSumAvg:[41.603]
[82/2000] rSumAvg:[61.598]
[83/2000] rSumAvg:[49.820]
[84/2000] rSumAvg:[-22.900]
[85/2000] rSumAvg:[71.940]
[86/2000] rSumAvg:[44.449]
[87/2000] rSumAvg:[59.654]
[88/2000] rSumAvg:[2.527]
[89/2000] rSumAvg:[45.470]
[90/2000] rSumAvg:[80.001]
[91/2000] rSumAvg:[-105.378]
[92/2000] rSumAvg:[36.100]
[93/2000] rSumAvg:[13.076]
[94/2000] rSumAvg:[49.870]
[95/2000] rSumAvg:[52.272]
[96/2000] rSumAvg:[28.675]
[97/2000] rSumAvg:[47.495]
[98/2000] rSumAvg:[32.907]
[99/2000] rSumAvg:[53.710]
[100/2000] rSumAvg:[-144.421]
